Accession	Sample Name	SPUID	Organism	Tax ID	Strain
SAMN15362072	MuVs_Washington.USA_9.17_FH18_G	MuVs_Washington.USA_9.17_FH18_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/9.17/FH18[G]
SAMN15362073	MuVs_Washington.USA_8.17_FH19_G	MuVs_Washington.USA_8.17_FH19_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/8.17/FH19[G]
SAMN15362074	MuVs_Washington.USA_15.17_FH20_G	MuVs_Washington.USA_15.17_FH20_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/15.17/FH20[G]
SAMN15362075	MuVs_Washington.USA_2.17_FH21_G	MuVs_Washington.USA_2.17_FH21_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/2.17/FH21[G]
SAMN15362076	MuVs_Washington.USA_2.17_FH22_G	MuVs_Washington.USA_2.17_FH22_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/2.17/FH22[G]
SAMN15362077	MuVs_Washington.USA_2.17_FH23_G	MuVs_Washington.USA_2.17_FH23_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/2.17/FH23[G]
SAMN15362078	MuVs_Washington.USA_3.17_FH24_G	MuVs_Washington.USA_3.17_FH24_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/3.17/FH24[G]
SAMN15362079	MuVs_Washington.USA_3.17_FH25_G	MuVs_Washington.USA_3.17_FH25_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/3.17/FH25[G]
SAMN15362080	MuVs_Washington.USA_2.17_FH26_G	MuVs_Washington.USA_2.17_FH26_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/2.17/FH26[G]
SAMN15362081	MuVs_Washington.USA_5.17_FH27_G	MuVs_Washington.USA_5.17_FH27_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/5.17/FH27[G]
SAMN15362082	MuVs_Washington.USA_52.16_FH28_G	MuVs_Washington.USA_52.16_FH28_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/52.16/FH28[G]
SAMN15362083	MuVs_Washington.USA_1.17_FH29_G	MuVs_Washington.USA_1.17_FH29_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/1.17/FH29[G]
SAMN15362084	MuVs_Washington.USA_5.17_FH30_G	MuVs_Washington.USA_5.17_FH30_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/5.17/FH30[G]
SAMN15362085	MuVs_Washington.USA_9.17_FH31_G	MuVs_Washington.USA_9.17_FH31_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/9.17/FH31[G]
SAMN15362086	MuVs_Washington.USA_30.17_FH32_G	MuVs_Washington.USA_30.17_FH32_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/30.17/FH32[G]
SAMN15362087	MuVs_Washington.USA_50.16_FH33_G	MuVs_Washington.USA_50.16_FH33_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/50.16/FH33[G]
SAMN15362088	MuVs_Washington.USA_12.17_FH34_G	MuVs_Washington.USA_12.17_FH34_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/12.17/FH34[G]
SAMN15362089	MuVs_Washington.USA_12.17_FH35_G	MuVs_Washington.USA_12.17_FH35_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/12.17/FH35[G]
SAMN15362090	MuVs_Washington.USA_16.17_FH36_G	MuVs_Washington.USA_16.17_FH36_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/16.17/FH36[G]
SAMN15362091	MuVs_Washington.USA_17.17_FH37_G	MuVs_Washington.USA_17.17_FH37_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/17.17/FH37[G]
SAMN15362092	MuVs_Washington.USA_17.17_FH38_G	MuVs_Washington.USA_17.17_FH38_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/17.17/FH38[G]
SAMN15362093	MuVs_Washington.USA_17.17_FH39_G	MuVs_Washington.USA_17.17_FH39_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/17.17/FH39[G]
SAMN15362094	MuVs_Washington.USA_17.17_FH40_G	MuVs_Washington.USA_17.17_FH40_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/17.17/FH40[G]
SAMN15362095	MuVs_Washington.USA_51.16_FH41_G	MuVs_Washington.USA_51.16_FH41_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/51.16/FH41[G]
SAMN15362096	MuVs_Washington.USA_9.17_FH42_G	MuVs_Washington.USA_9.17_FH42_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/9.17/FH42[G]
SAMN15362097	MuVs_Washington.USA_10.17_FH43_G	MuVs_Washington.USA_10.17_FH43_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/10.17/FH43[G]
SAMN15362098	MuVs_Washington.USA_19.17_FH44_G	MuVs_Washington.USA_19.17_FH44_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/19.17/FH44[G]
SAMN15362099	MuVs_Washington.USA_49.16_FH45_G	MuVs_Washington.USA_49.16_FH45_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/49.16/FH45[G]
SAMN15362100	MuVs_Washington.USA_51.16_FH46_G	MuVs_Washington.USA_51.16_FH46_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/51.16/FH46[G]
SAMN15362101	MuVs_Washington.USA_2.17_FH47_G	MuVs_Washington.USA_2.17_FH47_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/2.17/FH47[G]
SAMN15362102	MuVs_Washington.USA_4.17_FH48_G	MuVs_Washington.USA_4.17_FH48_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/4.17/FH48[G]
SAMN15362103	MuVs_Washington.USA_4.17_FH49_G	MuVs_Washington.USA_4.17_FH49_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/4.17/FH49[G]
SAMN15362104	MuVs_Washington.USA_5.17_FH50_G	MuVs_Washington.USA_5.17_FH50_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/5.17/FH50[G]
SAMN15362105	MuVs_Washington.USA_6.17_FH51_G	MuVs_Washington.USA_6.17_FH51_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/6.17/FH51[G]
SAMN15362106	MuVs_Washington.USA_10.17_FH52_G	MuVs_Washington.USA_10.17_FH52_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/10.17/FH52[G]
SAMN15362107	MuVs_Washington.USA_19.17_FH53_G	MuVs_Washington.USA_19.17_FH53_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/19.17/FH53[G]
SAMN15362108	MuVs_Washington.USA_2.17_FH54_G	MuVs_Washington.USA_2.17_FH54_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/2.17/FH54[G]
SAMN15362109	MuVs_Washington.USA_49.16_FH55_G	MuVs_Washington.USA_49.16_FH55_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/49.16/FH55[G]
SAMN15362110	MuVs_Washington.USA_11.17_FH56_G	MuVs_Washington.USA_11.17_FH56_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/11.17/FH56[G]
SAMN15362111	MuVs_Washington.USA_12.17_FH57_G	MuVs_Washington.USA_12.17_FH57_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/12.17/FH57[G]
SAMN15362112	MuVs_Washington.USA_2.17_FH58_G	MuVs_Washington.USA_2.17_FH58_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/2.17/FH58[G]
SAMN15362113	MuVs_Washington.USA_3.17_FH59_G	MuVs_Washington.USA_3.17_FH59_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/3.17/FH59[G]
SAMN15362114	MuVs_Washington.USA_4.17_FH60_G	MuVs_Washington.USA_4.17_FH60_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/4.17/FH60[G]
SAMN15362115	MuVs_Washington.USA_7.17_FH61_G	MuVs_Washington.USA_7.17_FH61_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/7.17/FH61[G]
SAMN15362116	MuVs_Washington.USA_3.17_FH62_G	MuVs_Washington.USA_3.17_FH62_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/3.17/FH62[G]
SAMN15362117	MuVs_Washington.USA_16.17_FH63_G	MuVs_Washington.USA_16.17_FH63_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/16.17/FH63[G]
SAMN15362118	MuVs_Washington.USA_50.16_FH64_G	MuVs_Washington.USA_50.16_FH64_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/50.16/FH64[G]
SAMN15362119	MuVs_Washington.USA_1.17_FH65_G	MuVs_Washington.USA_1.17_FH65_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/1.17/FH65[G]
SAMN15362120	MuVs_Washington.USA_2.17_FH66_G	MuVs_Washington.USA_2.17_FH66_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/2.17/FH66[G]
SAMN15362121	MuVs_Washington.USA_3.17_FH67_G	MuVs_Washington.USA_3.17_FH67_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/3.17/FH67[G]
SAMN15362122	MuVs_Washington.USA_4.17_FH68_G	MuVs_Washington.USA_4.17_FH68_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/4.17/FH68[G]
SAMN15362123	MuVs_Washington.USA_21.17_FH69_G	MuVs_Washington.USA_21.17_FH69_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/21.17/FH69[G]
SAMN15362124	MuVs_Washington.USA_4.17_FH70_G	MuVs_Washington.USA_4.17_FH70_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/4.17/FH70[G]
SAMN15362125	MuVs_Washington.USA_4.17_FH71_G	MuVs_Washington.USA_4.17_FH71_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/4.17/FH71[G]
SAMN15362126	MuVs_Washington.USA_5.17_FH72_G	MuVs_Washington.USA_5.17_FH72_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/5.17/FH72[G]
SAMN15362127	MuVs_Washington.USA_20.17_FH73_G	MuVs_Washington.USA_20.17_FH73_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/20.17/FH73[G]
SAMN15362128	MuVs_Washington.USA_22.17_FH74_G	MuVs_Washington.USA_22.17_FH74_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/22.17/FH74[G]
SAMN15362129	MuVs_Washington.USA_52.16_FH75_G	MuVs_Washington.USA_52.16_FH75_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/52.16/FH75[G]
SAMN15362130	MuVs_Washington.USA_12.17_FH76_G	MuVs_Washington.USA_12.17_FH76_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/12.17/FH76[G]
SAMN15362131	MuVs_Washington.USA_1.17_FH77_G	MuVs_Washington.USA_1.17_FH77_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/1.17/FH77[G]
SAMN15362132	MuVs_Washington.USA_12.17_FH78_G	MuVs_Washington.USA_12.17_FH78_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/12.17/FH78[G]
SAMN15362133	MuVs_Washington.USA_16.17_FH79_G	MuVs_Washington.USA_16.17_FH79_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/16.17/FH79[G]
SAMN15362134	MuVs_Washington.USA_19.17_FH80_G	MuVs_Washington.USA_19.17_FH80_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/19.17/FH80[G]
SAMN15362135	MuVs_Washington.USA_20.17_FH81_G	MuVs_Washington.USA_20.17_FH81_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/20.17/FH81[G]
SAMN15362136	MuVs_Washington.USA_20.17_FH82_G	MuVs_Washington.USA_20.17_FH82_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/20.17/FH82[G]
SAMN15362137	MuVs_Washington.USA_29.17_FH83_G	MuVs_Washington.USA_29.17_FH83_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/29.17/FH83[G]
SAMN15362138	MuVs_Washington.USA_2.17_FH84_G	MuVs_Washington.USA_2.17_FH84_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/2.17/FH84[G]
SAMN15362139	MuVs_Wisconsin.USA_16.14_FH85_G	MuVs_Wisconsin.USA_16.14_FH85_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/16.14/FH85[G]
SAMN15362140	MuVs_Wisconsin.USA_20.14_FH86_G	MuVs_Wisconsin.USA_20.14_FH86_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/20.14/FH86[G]
SAMN15362141	MuVs_Wisconsin.USA_15.06_FH87_H	MuVs_Wisconsin.USA_15.06_FH87_H	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/15.06/FH87[H]
SAMN15362142	MuVs_Missouri.USA_32.16_FH88_G	MuVs_Missouri.USA_32.16_FH88_G	Mumps rubulavirus	1979165	MuVs/Missouri.USA/32.16/FH88[G]
SAMN15362143	MuVs_Wisconsin.USA_15.17_FH89_G	MuVs_Wisconsin.USA_15.17_FH89_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/15.17/FH89[G]
SAMN15362144	MuVs_Alabama.USA_11.17_FH90_G	MuVs_Alabama.USA_11.17_FH90_G	Mumps rubulavirus	1979165	MuVs/Alabama.USA/11.17/FH90[G]
SAMN15362145	MuVs_Wisconsin.USA_15.06_FH91_A	MuVs_Wisconsin.USA_15.06_FH91_A	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/15.06/FH91[A]
SAMN15362146	MuVs_Alabama.USA_19.17_FH92_G	MuVs_Alabama.USA_19.17_FH92_G	Mumps rubulavirus	1979165	MuVs/Alabama.USA/19.17/FH92[G]
SAMN15362147	MuVs_Wisconsin.USA_37.06_FH93_G	MuVs_Wisconsin.USA_37.06_FH93_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/37.06/FH93[G]
SAMN15362148	MuVs_Washington.USA_9.17_FH94_K	MuVs_Washington.USA_9.17_FH94_K	Mumps rubulavirus	1979165	MuVs/Washington.USA/9.17/FH94[K]
SAMN15362149	MuVs_Washington.USA_11.17_FH95_G	MuVs_Washington.USA_11.17_FH95_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/11.17/FH95[G]
SAMN15362150	MuVs_Washington.USA_11.17_FH96_G	MuVs_Washington.USA_11.17_FH96_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/11.17/FH96[G]
SAMN15362151	MuVs_Washington.USA_12.17_FH97_G	MuVs_Washington.USA_12.17_FH97_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/12.17/FH97[G]
SAMN15362152	MuVs_Washington.USA_14.17_FH98_G	MuVs_Washington.USA_14.17_FH98_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/14.17/FH98[G]
SAMN15362153	MuVs_Wisconsin.USA_41.06_FH99_G	MuVs_Wisconsin.USA_41.06_FH99_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/41.06/FH99[G]
SAMN15362154	MuVs_Washington.USA_19.17_FH100_G	MuVs_Washington.USA_19.17_FH100_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/19.17/FH100[G]
SAMN15362155	MuVs_Missouri.USA_28.17_FH101_G	MuVs_Missouri.USA_28.17_FH101_G	Mumps rubulavirus	1979165	MuVs/Missouri.USA/28.17/FH101[G]
SAMN15362156	MuVs_Ohio.USA_2.18_FH102_G	MuVs_Ohio.USA_2.18_FH102_G	Mumps rubulavirus	1979165	MuVs/Ohio.USA/2.18/FH102[G]
SAMN15362157	MuVs_Washington.USA_4.17_FH103_G	MuVs_Washington.USA_4.17_FH103_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/4.17/FH103[G]
SAMN15362158	MuVs_Washington.USA_5.17_FH104_G	MuVs_Washington.USA_5.17_FH104_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/5.17/FH104[G]
SAMN15362159	MuVs_Washington.USA_6.17_FH105_G	MuVs_Washington.USA_6.17_FH105_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/6.17/FH105[G]
SAMN15362160	MuVs_Washington.USA_7.17_FH106_G	MuVs_Washington.USA_7.17_FH106_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/7.17/FH106[G]
SAMN15362161	MuVs_Wisconsin.USA_7.07_FH107_G	MuVs_Wisconsin.USA_7.07_FH107_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/7.07/FH107[G]
SAMN15362162	MuVs_Wisconsin.USA_11.07_FH108_G	MuVs_Wisconsin.USA_11.07_FH108_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/11.07/FH108[G]
SAMN15362163	MuVs_Wisconsin.USA_11.07_FH109_G	MuVs_Wisconsin.USA_11.07_FH109_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/11.07/FH109[G]
SAMN15362164	MuVs_Wisconsin.USA_16.14_FH110_G	MuVs_Wisconsin.USA_16.14_FH110_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/16.14/FH110[G]
SAMN15362165	MuVs_Wisconsin.USA_20.14_FH111_G	MuVs_Wisconsin.USA_20.14_FH111_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/20.14/FH111[G]
SAMN15362166	MuVs_Wisconsin.USA_24.14_FH112_G	MuVs_Wisconsin.USA_24.14_FH112_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/24.14/FH112[G]
SAMN15362167	MuVs_Wisconsin.USA_29.14_FH113_G	MuVs_Wisconsin.USA_29.14_FH113_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/29.14/FH113[G]
SAMN15362168	MuVs_Missouri.USA_29.15_FH114_G	MuVs_Missouri.USA_29.15_FH114_G	Mumps rubulavirus	1979165	MuVs/Missouri.USA/29.15/FH114[G]
SAMN15362169	MuVs_Wisconsin.USA_42.15_FH115_G	MuVs_Wisconsin.USA_42.15_FH115_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/42.15/FH115[G]
SAMN15362170	MuVs_Wisconsin.USA_42.15_FH116_G	MuVs_Wisconsin.USA_42.15_FH116_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/42.15/FH116[G]
SAMN15362171	MuVs_Wisconsin.USA_46.15_FH117_G	MuVs_Wisconsin.USA_46.15_FH117_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/46.15/FH117[G]
SAMN15362172	MuVs_Wisconsin.USA_2.16_FH118_G	MuVs_Wisconsin.USA_2.16_FH118_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/2.16/FH118[G]
SAMN15362173	MuVs_Ohio.USA_19.16_FH119_G	MuVs_Ohio.USA_19.16_FH119_G	Mumps rubulavirus	1979165	MuVs/Ohio.USA/19.16/FH119[G]
SAMN15362174	MuVs_Wisconsin.USA_24.16_FH120_G	MuVs_Wisconsin.USA_24.16_FH120_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/24.16/FH120[G]
SAMN15362175	MuVs_Wisconsin.USA_19.16_FH121_G	MuVs_Wisconsin.USA_19.16_FH121_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/19.16/FH121[G]
SAMN15362176	MuVs_Missouri.USA_41.16_FH122_G	MuVs_Missouri.USA_41.16_FH122_G	Mumps rubulavirus	1979165	MuVs/Missouri.USA/41.16/FH122[G]
SAMN15362177	MuVs_Missouri.USA_46.16_FH123_G	MuVs_Missouri.USA_46.16_FH123_G	Mumps rubulavirus	1979165	MuVs/Missouri.USA/46.16/FH123[G]
SAMN15362178	MuVs_Missouri.USA_46.16_FH124_G	MuVs_Missouri.USA_46.16_FH124_G	Mumps rubulavirus	1979165	MuVs/Missouri.USA/46.16/FH124[G]
SAMN15362179	MuVs_Missouri.USA_50.16_FH125_G	MuVs_Missouri.USA_50.16_FH125_G	Mumps rubulavirus	1979165	MuVs/Missouri.USA/50.16/FH125[G]
SAMN15362180	MuVs_Wisconsin.USA_50.16_FH126_G	MuVs_Wisconsin.USA_50.16_FH126_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/50.16/FH126[G]
SAMN15362181	MuVs_Missouri.USA_2.17_FH127_G	MuVs_Missouri.USA_2.17_FH127_G	Mumps rubulavirus	1979165	MuVs/Missouri.USA/2.17/FH127[G]
SAMN15362182	MuVs_Ohio.USA_2.17_FH128_G	MuVs_Ohio.USA_2.17_FH128_G	Mumps rubulavirus	1979165	MuVs/Ohio.USA/2.17/FH128[G]
SAMN15362183	MuVs_Missouri.USA_7.17_FH129_G	MuVs_Missouri.USA_7.17_FH129_G	Mumps rubulavirus	1979165	MuVs/Missouri.USA/7.17/FH129[G]
SAMN15362184	MuVs_Ohio.USA_7.17_FH130_G	MuVs_Ohio.USA_7.17_FH130_G	Mumps rubulavirus	1979165	MuVs/Ohio.USA/7.17/FH130[G]
SAMN15362185	MuVs_Wisconsin.USA_15.06_FH131_G	MuVs_Wisconsin.USA_15.06_FH131_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/15.06/FH131[G]
SAMN15362186	MuVs_Ohio.USA_11.17_FH132_G	MuVs_Ohio.USA_11.17_FH132_G	Mumps rubulavirus	1979165	MuVs/Ohio.USA/11.17/FH132[G]
SAMN15362187	MuVs_Missouri.USA_11.17_FH133_G	MuVs_Missouri.USA_11.17_FH133_G	Mumps rubulavirus	1979165	MuVs/Missouri.USA/11.17/FH133[G]
SAMN15362188	MuVs_Missouri.USA_15.17_FH134_G	MuVs_Missouri.USA_15.17_FH134_G	Mumps rubulavirus	1979165	MuVs/Missouri.USA/15.17/FH134[G]
SAMN15362189	MuVs_Missouri.USA_15.17_FH135_G	MuVs_Missouri.USA_15.17_FH135_G	Mumps rubulavirus	1979165	MuVs/Missouri.USA/15.17/FH135[G]
SAMN15362190	MuVs_NorthCarolina.USA_11.17_FH136_G	MuVs_NorthCarolina.USA_11.17_FH136_G	Mumps rubulavirus	1979165	MuVs/NorthCarolina.USA/11.17/FH136[G]
SAMN15362191	MuVs_Wisconsin.USA_15.17_FH137_G	MuVs_Wisconsin.USA_15.17_FH137_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/15.17/FH137[G]
SAMN15362192	MuVs_Missouri.USA_15.17_FH138_G	MuVs_Missouri.USA_15.17_FH138_G	Mumps rubulavirus	1979165	MuVs/Missouri.USA/15.17/FH138[G]
SAMN15362193	MuVs_Alabama.USA_15.17_FH139_G	MuVs_Alabama.USA_15.17_FH139_G	Mumps rubulavirus	1979165	MuVs/Alabama.USA/15.17/FH139[G]
SAMN15362194	MuVs_Missouri.USA_19.17_FH140_G	MuVs_Missouri.USA_19.17_FH140_G	Mumps rubulavirus	1979165	MuVs/Missouri.USA/19.17/FH140[G]
SAMN15362195	MuVs_Wisconsin.USA_19.17_FH141_G	MuVs_Wisconsin.USA_19.17_FH141_G	Mumps rubulavirus	1979165	MuVs/Wisconsin.USA/19.17/FH141[G]
SAMN15362196	MuVs_Washington.USA_8.17_FH142_G	MuVs_Washington.USA_8.17_FH142_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/8.17/FH142[G]
SAMN15362197	MuVs_Washington.USA_11.17_FH143_G	MuVs_Washington.USA_11.17_FH143_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/11.17/FH143[G]
SAMN15362198	MuVs_Washington.USA_12.17_FH144_G	MuVs_Washington.USA_12.17_FH144_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/12.17/FH144[G]
SAMN15362199	MuVs_Washington.USA_14.17_FH145_G	MuVs_Washington.USA_14.17_FH145_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/14.17/FH145[G]
SAMN15362200	MuVs_Washington.USA_15.17_FH146_G	MuVs_Washington.USA_15.17_FH146_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/15.17/FH146[G]
SAMN15362201	MuVs_Washington.USA_18.17_FH147_G	MuVs_Washington.USA_18.17_FH147_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/18.17/FH147[G]
SAMN15362202	MuVs_Washington.USA_20.17_FH148_G	MuVs_Washington.USA_20.17_FH148_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/20.17/FH148[G]
SAMN15362203	MuVs_Washington.USA_23.17_FH149_G	MuVs_Washington.USA_23.17_FH149_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/23.17/FH149[G]
SAMN15362204	MuVs_Washington.USA_23.17_FH150_G	MuVs_Washington.USA_23.17_FH150_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/23.17/FH150[G]
SAMN15362205	MuVs_Washington.USA_28.17_FH151_G	MuVs_Washington.USA_28.17_FH151_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/28.17/FH151[G]
